"provider_name,""address1"",""address2"",""city"",""state"",""zip"",""public_phone"",""latitude"",""longitude"",""geopoint"",""last_report_date"",""is_pap"",""is_prescribing_svcs_available"",""url_appointment"",""home_delivery"",""is_icatt_site"",""has_usg_product"",""has_commercial_product"",""has_paxlovid"",""has_commercial_paxlovid"",""has_usg_paxlovid"",""has_lagevrio"",""has_commercial_lagevrio"",""has_usg_lagevrio"",""has_veklury"",""has_oseltamivir_generic"",""has_oseltamivir_suspension"",""has_oseltamivir_tamiflu"",""has_baloxavir"",""has_zanamivir"",""has_peramivir"",""grantee_code"",""is_flu"",""is_covid"""
"PUBLIX PHARMACY #1026,""7700 VAUGHN ROAD"",,""MONTGOMERY"",""AL"",""36117"",,""32.336849"",""-86.182743"",""POINT (-86.182743 32.336849)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""PX1"",""false"",""true"""
"PUBLIX PHARMACY #1027,""3026 ZELDA ROAD"",,""MONTGOMERY"",""AL"",""36106"",,""32.355306"",""-86.265795"",""POINT (-86.265795 32.355306)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""PX1"",""false"",""true"""
"CHASE PHARMACY INC,""2700 WINCHESTER RD NE STE B"",,""HUNTSVILLE"",""AL"",""35811"",,""34.825005"",""-86.474921"",""POINT (-86.474921 34.825005)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",,""false"",""true"""
"TARA PHARMACY SE LLC,""211 SUMMIT PKWY"",""STE 112"",""HOMEWOOD"",""AL"",""35209"",,""33.466144"",""-86.830347"",""POINT (-86.830347 33.466144)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""GM1"",""false"",""true"""
"CVS PHARMACY #01774,""100 PROVIDENCE MAIN ST NW STE G"",,""HUNTSVILLE"",""AL"",""35806-4827"",,""34.749919"",""-86.694101"",""POINT (-86.694101 34.749919)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""CV1"",""false"",""true"""
"PUBLIX PHARMACY #1065,""3014 ALLISON BONNETT MEMORIAL DR STE 130"",,""HUEYTOWN"",""AL"",""35023"",,""33.453086"",""-86.977911"",""POINT (-86.977911 33.453086)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""PX1"",""false"",""true"""
"ELKMONT PHARMACY,""25462 HL HWY 127"",,""ELKMONT"",""AL"",""35620"",,""34.919333"",""-86.988302"",""POINT (-86.988302 34.919333)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",,""false"",""true"""
"WALGREENS #10109,""109 E DR HICKS BLVD"",,""FLORENCE"",""AL"",""35630-5706"",""256-718-0457"",""34.798277"",""-87.67357"",""POINT (-87.67357 34.798277)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""true"",""false"",""false"",""false"",""false"",""WG1"",""true"",""true"""
"WALGREENS #10480,""1649 MARTIN ST N"",,""PELL CITY"",""AL"",""35125-9350"",""205-338-2319"",""33.610404"",""-86.282036"",""POINT (-86.282036 33.610404)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""true"",""true"",""false"",""false"",""true"",""true"",""false"",""true"",""false"",""false"",""WG1"",""true"",""true"""
"LAKE MARTIN PHARMACY LLC,""301 MARIARDEN RD"",""STE A"",""DADEVILLE"",""AL"",""36853"",,""32.818524"",""-85.741029"",""POINT (-85.741029 32.818524)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""MS1"",""false"",""true"""
"WALGREENS #10598,""100 W FT WILLIAMS ST"",,""SYLACAUGA"",""AL"",""35150-2430"",""256-249-8646"",""33.167337"",""-86.262666"",""POINT (-86.262666 33.167337)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""false"",""false"",""false"",""false"",""true"",""true"",""false"",""true"",""false"",""false"",""WG1"",""true"",""true"""
"WALMART PHARMACY 10-4504,""312 PALISADES BLVD"",,""BIRMINGHAM"",""AL"",""35209"",,""33.467781"",""-86.821642"",""POINT (-86.821642 33.467781)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""WM1"",""false"",""true"""
