"provider_name,""address1"",""address2"",""city"",""state"",""zip"",""public_phone"",""latitude"",""longitude"",""geopoint"",""last_report_date"",""is_pap"",""is_prescribing_svcs_available"",""url_appointment"",""home_delivery"",""is_icatt_site"",""has_usg_product"",""has_commercial_product"",""has_paxlovid"",""has_commercial_paxlovid"",""has_usg_paxlovid"",""has_lagevrio"",""has_commercial_lagevrio"",""has_usg_lagevrio"",""has_veklury"",""has_oseltamivir_generic"",""has_oseltamivir_suspension"",""has_oseltamivir_tamiflu"",""has_baloxavir"",""has_zanamivir"",""has_peramivir"",""grantee_code"",""is_flu"",""is_covid"""
"CVS PHARMACY #16376,""7795 SW 40TH ST"",,""MIAMI"",""FL"",""33155"",""305-262-6087"",""25.73597"",""-80.320766"",""POINT (-80.320766 25.73597)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""true"",""true"",""false"",""false"",""true"",""true"",""false"",""false"",""false"",""false"",""CV1"",""true"",""true"""
"PUBLIX PHARMACY #0527,""5801 SW 75TH ST"",,""GAINESVILLE"",""FL"",""32608"",,""29.601771"",""-82.420536"",""POINT (-82.420536 29.601771)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""PX1"",""false"",""true"""
"PUBLIX PHARMACY #0542,""2600 MAGUIRE RD"",,""OCOEE"",""FL"",""34761"",,""28.532168"",""-81.539816"",""POINT (-81.539816 28.532168)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""PX1"",""false"",""true"""
"PUBLIX PHARMACY #0537,""3720 NW 13TH ST"",,""GAINESVILLE"",""FL"",""32609"",,""29.687395"",""-82.340611"",""POINT (-82.340611 29.687395)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""PX1"",""false"",""true"""
"CVS PHARMACY #05119,""4232 NE OCEAN BLVD"",,""JENSEN BEACH"",""FL"",""34957"",""772-225-9800"",""27.256585"",""-80.199342"",""POINT (-80.199342 27.256585)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""true"",""true"",""false"",""false"",""true"",""true"",""false"",""false"",""false"",""false"",""CV1"",""true"",""true"""
"CVS PHARMACY #05137,""2284 SE FEDERAL HWY"",,""STUART"",""FL"",""34994"",""772-287-4819"",""27.177231"",""-80.236928"",""POINT (-80.236928 27.177231)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""true"",""true"",""false"",""false"",""true"",""true"",""false"",""false"",""false"",""false"",""CV1"",""true"",""true"""
"CVS PHARMACY #05116,""16961 ALICO MISSION WAY"",,""FORT MYERS"",""FL"",""33908"",""239-433-2110"",""26.494404"",""-81.849219"",""POINT (-81.849219 26.494404)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""true"",""true"",""false"",""false"",""true"",""true"",""false"",""false"",""false"",""false"",""CV1"",""true"",""true"""
"CVS PHARMACY #05133,""555 WASHINGTON AVE"",,""MIAMI BEACH"",""FL"",""33139"",,""25.775113"",""-80.133698"",""POINT (-80.133698 25.775113)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""CV1"",""false"",""true"""
"CVS PHARMACY #05124,""11721 S DIXIE HWY"",,""PINECREST"",""FL"",""33156-4438"",""305-235-7961"",""25.661976"",""-80.324865"",""POINT (-80.324865 25.661976)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""true"",""true"",""false"",""false"",""true"",""true"",""false"",""true"",""false"",""false"",""CV1"",""true"",""true"""
"CVS PHARMACY #05142,""3400 HOLLYWOOD BLVD"",,""HOLLYWOOD"",""FL"",""33021"",""954-987-5901"",""26.010256"",""-80.176131"",""POINT (-80.176131 26.010256)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""true"",""true"",""false"",""false"",""true"",""true"",""false"",""false"",""false"",""false"",""CV1"",""true"",""true"""
