"provider_name,""address1"",""address2"",""city"",""state"",""zip"",""public_phone"",""latitude"",""longitude"",""geopoint"",""last_report_date"",""is_pap"",""is_prescribing_svcs_available"",""url_appointment"",""home_delivery"",""is_icatt_site"",""has_usg_product"",""has_commercial_product"",""has_paxlovid"",""has_commercial_paxlovid"",""has_usg_paxlovid"",""has_lagevrio"",""has_commercial_lagevrio"",""has_usg_lagevrio"",""has_veklury"",""has_oseltamivir_generic"",""has_oseltamivir_suspension"",""has_oseltamivir_tamiflu"",""has_baloxavir"",""has_zanamivir"",""has_peramivir"",""grantee_code"",""is_flu"",""is_covid"""
"WALGREENS #15138,""4020 S JOG RD"",,""LAKE WORTH"",""FL"",""33467-4035"",""561-965-3060"",""26.592203"",""-80.144758"",""POINT (-80.144758 26.592203)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""false"",""false"",""false"",""false"",""true"",""true"",""false"",""false"",""false"",""false"",""WG1"",""true"",""true"""
"DOWNEY DRUG ALEXANDRIA LLC,""658 VALLEY CUB DR"",,""ALEXANDRIA"",""AL"",""36250"",,""33.763"",""-85.89044"",""POINT (-85.89044 33.763)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",,""false"",""true"""
"WALMART PHARMACY 10-3887,""1041 US HIGHWAY 27 NORTH"",,""AVON PARK"",""FL"",""33825"",,""27.583741"",""-81.513654"",""POINT (-81.513654 27.583741)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""WM1"",""false"",""true"""
"CVS PHARMACY #03261,""2701 STIRLING RD"",,""FT LAUDERDALE"",""FL"",""33312"",""954-981-9670"",""26.048288"",""-80.176899"",""POINT (-80.176899 26.048288)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""true"",""true"",""false"",""false"",""true"",""true"",""false"",""false"",""false"",""false"",""CV1"",""true"",""true"""
"PUBLIX PHARMACY #1204,""884 CYPRESS GARDENS BLVD"",,""WINTER HAVEN"",""FL"",""33880"",,""28.002808"",""-81.716078"",""POINT (-81.716078 28.002808)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""PX1"",""false"",""true"""
"KEY PHARMACY,""614 CRANDON BLVD"",,""KEY BISCAYNE"",""FL"",""33149"",,""25.689359"",""-80.164459"",""POINT (-80.164459 25.689359)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""GN1"",""false"",""true"""
"CVS PHARMACY #17440,""120 W GRANT ST"",,""ORLANDO"",""FL"",""32806"",""407-608-1581"",""28.51565"",""-81.380064"",""POINT (-81.380064 28.51565)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""false"",""false"",""false"",""false"",""true"",""true"",""false"",""false"",""false"",""false"",""CV1"",""true"",""true"""
"ELSA PHARMACY INC,""1802 EAST 4 AVENUE"",,""HIALEAH"",""FL"",""33010-2714"",,""25.86314267"",""-80.27491833"",""POINT (-80.27491833 25.86314267)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""FLA"",""false"",""true"""
"WALGREENS #11165,""5445 STATE ROAD 16"",,""ST AUGUSTINE"",""FL"",""32092-0617"",""904-940-5556"",""29.962964"",""-81.492839"",""POINT (-81.492839 29.962964)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""false"",""false"",""false"",""false"",""true"",""true"",""false"",""false"",""false"",""false"",""WG1"",""true"",""true"""
"WALGREENS #12102,""14415 ARBOR GREEN TRAIL"",,""BRADENTON"",""FL"",""34202-8409"",,""27.431211"",""-82.396014"",""POINT (-82.396014 27.431211)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""WG1"",""false"",""true"""
"ALL PEOPLES PHARMACY,""4750 SOUTEL DRIVE"",""SUITE 7"",""JACKSONVILLE"",""FL"",""32208"",,""30.40265"",""-81.720871"",""POINT (-81.720871 30.40265)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",,""false"",""true"""
"ONEPOINT PATIENT CARE - MIAMI, FL,""11219 INTERCHANGE CIRCLE SOUTH"",,""MIRAMAR"",""FL"",""33025"",,""25.974223"",""-80.295452"",""POINT (-80.295452 25.974223)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",,""false"",""true"""
"CVS PHARMACY #03294,""1599 PALM BAY RD NE"",,""PALM BAY"",""FL"",""32905"",""321-725-9961"",""28.035997"",""-80.62249"",""POINT (-80.62249 28.035997)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""true"",""true"",""false"",""false"",""true"",""false"",""false"",""false"",""false"",""false"",""CV1"",""true"",""true"""
"SCHAEFER DRUGS,""12797 W FOREST HILL BLVD"",,""WEST PALM BEACH"",""FL"",""33414-4749"",,""26.714449"",""-80.05495"",""POINT (-80.05495 26.714449)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",,""false"",""true"""
"CVS PHARMACY #08369,""10761 WEST FLAGLER ST"",,""MIAMI"",""FL"",""33174"",""305-223-3405"",""25.76988"",""-80.369995"",""POINT (-80.369995 25.76988)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""true"",""true"",""false"",""false"",""true"",""true"",""false"",""false"",""false"",""false"",""CV1"",""true"",""true"""
"CVS PHARMACY #03400,""6800 S DIXIE HWY"",,""WEST PALM BEACH"",""FL"",""33405"",""561-586-4054"",""26.654644"",""-80.055581"",""POINT (-80.055581 26.654644)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""true"",""true"",""false"",""false"",""true"",""true"",""false"",""false"",""false"",""false"",""CV1"",""true"",""true"""
